CAUSA_DEF,2015,2016,2017,2018,2019,2020,2021,2022,2023
A010,44.0,33.0,32.0,34.0,44.0,59.0,25.0,14.0,11.0
A012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
A014,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
A020,45.0,38.0,32.0,31.0,38.0,69.0,52.0,30.0,13.0
A021,1.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0
A022,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
A028,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
A029,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0
A030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A039,3.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0
A040,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
A041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A044,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
A047,216.0,290.0,306.0,294.0,296.0,228.0,184.0,221.0,232.0
A048,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0
A049,44.0,46.0,61.0,74.0,103.0,83.0,99.0,81.0,58.0
A052,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
A058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A059,4.0,4.0,4.0,6.0,7.0,11.0,7.0,9.0,2.0
A060,17.0,14.0,19.0,10.0,17.0,16.0,14.0,10.0,12.0
A061,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
A062,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
A063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
A064,18.0,26.0,26.0,29.0,27.0,33.0,27.0,19.0,14.0
A065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A066,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0
A067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A068,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
A069,5.0,12.0,2.0,3.0,7.0,3.0,3.0,3.0,3.0
A070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A071,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
A072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A080,1.0,4.0,4.0,0.0,3.0,5.0,6.0,3.0,4.0
A081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A083,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
A084,10.0,12.0,7.0,3.0,4.0,7.0,4.0,9.0,10.0
A085,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0
A090,1547.0,1460.0,1336.0,1280.0,1296.0,1254.0,965.0,975.0,1036.0
A099,1787.0,1957.0,1782.0,1690.0,1888.0,1734.0,1682.0,1500.0,1734.0
A150,233.0,224.0,389.0,476.0,570.0,448.0,497.0,716.0,864.0
A151,1.0,7.0,5.0,7.0,9.0,3.0,11.0,4.0,17.0
A152,12.0,12.0,11.0,5.0,8.0,20.0,19.0,36.0,50.0
A153,11.0,28.0,86.0,73.0,77.0,122.0,101.0,142.0,143.0
A154,4.0,1.0,1.0,1.0,3.0,2.0,1.0,6.0,5.0
A155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A156,1.0,2.0,2.0,4.0,10.0,3.0,18.0,12.0,11.0
A157,9.0,8.0,9.0,12.0,9.0,6.0,15.0,21.0,20.0
A158,4.0,0.0,2.0,5.0,0.0,1.0,3.0,3.0,4.0
A159,20.0,24.0,12.0,21.0,52.0,15.0,24.0,14.0,19.0
A160,23.0,22.0,9.0,12.0,13.0,11.0,13.0,13.0,13.0
A161,15.0,10.0,1.0,7.0,10.0,8.0,25.0,29.0,34.0
A162,1337.0,1303.0,1052.0,996.0,993.0,985.0,1026.0,1035.0,1045.0
A163,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,6.0
A164,2.0,0.0,3.0,1.0,2.0,5.0,0.0,2.0,0.0
A165,12.0,9.0,11.0,12.0,13.0,10.0,6.0,14.0,15.0
